,filename,age,gender,race,age_range,num_haircuts_life,has_tiktok,remembers_disco,uses_skincare,max_annual_earnings
0,100_0_0_20170112213500903.jpg.chip.jpg,100,male,white,100-119,360,no,no,no,32890.160162272405
1,100_0_0_20170112215240346.jpg.chip.jpg,100,male,white,100-119,627,no,no,no,29870.803246657368
2,100_1_0_20170110183726390.jpg.chip.jpg,100,female,white,100-119,687,no,yes,no,62930.62265360293
3,100_1_0_20170112213001988.jpg.chip.jpg,100,female,white,100-119,710,no,no,no,31105.95700900128
4,100_1_0_20170112213303693.jpg.chip.jpg,100,female,white,100-119,614,no,no,no,63977.67354921403
5,100_1_0_20170112215032192.jpg.chip.jpg,100,female,white,100-119,427,no,no,no,37422.83929042123
6,100_1_0_20170117195420803.jpg.chip.jpg,100,female,white,100-119,568,no,yes,no,53988.00919613471
7,100_1_0_20170119212053665.jpg.chip.jpg,100,female,white,100-119,766,no,no,no,41449.09482481703
8,100_1_2_20170105174847679.jpg.chip.jpg,100,female,asian,100-119,527,no,no,no,42429.53761510724
9,100_1_2_20170112213615815.jpg.chip.jpg,100,female,asian,100-119,354,no,no,no,48179.281853721
10,100_1_2_20170112222336458.jpg.chip.jpg,100,female,asian,100-119,746,no,no,no,31537.520185313
11,101_0_0_20170112213500903.jpg.chip.jpg,101,male,white,100-119,649,no,no,no,40084.31092800114
12,101_1_2_20170105174739309.jpg.chip.jpg,101,female,asian,100-119,597,no,yes,no,53857.30300255165
13,103_0_2_20170112213001988.jpg.chip.jpg,103,male,asian,100-119,418,no,no,no,32700.915630403673
14,105_0_0_20170112213001988.jpg.chip.jpg,105,male,white,100-119,676,no,no,no,46485.76804477342
15,105_1_0_20170112213001988.jpg.chip.jpg,105,female,white,100-119,710,no,yes,no,51751.39525004691
16,105_1_0_20170112213021902.jpg.chip.jpg,105,female,white,100-119,619,no,no,no,46526.34041686604
17,105_1_0_20170112213507183.jpg.chip.jpg,105,female,white,100-119,544,no,no,no,53667.64962547068
18,105_1_1_20170112213303693.jpg.chip.jpg,105,female,black,100-119,776,no,yes,no,36720.59562672465
19,10_0_0_20161220222308131.jpg.chip.jpg,10,male,white,0-19,42,yes,no,no,2058.838013622392
20,10_0_0_20170103200329407.jpg.chip.jpg,10,male,white,0-19,64,no,no,no,1370.8810287746808
21,10_0_0_20170103200522151.jpg.chip.jpg,10,male,white,0-19,50,no,no,yes,2599.649842418633
22,10_0_0_20170103233459275.jpg.chip.jpg,10,male,white,0-19,48,no,no,no,2754.4258148444806
23,10_0_0_20170104013211746.jpg.chip.jpg,10,male,white,0-19,51,no,no,yes,3102.5248378246297
24,10_0_0_20170110215927291.jpg.chip.jpg,10,male,white,0-19,38,yes,no,yes,1880.8643285998926
25,10_0_0_20170110220033115.jpg.chip.jpg,10,male,white,0-19,42,yes,no,yes,3511.1702301525256
26,10_0_0_20170110220111082.jpg.chip.jpg,10,male,white,0-19,29,no,no,no,3826.912518444849
27,10_0_0_20170110220235233.jpg.chip.jpg,10,male,white,0-19,57,no,no,no,2401.7331860334757
28,10_0_0_20170110220251986.jpg.chip.jpg,10,male,white,0-19,40,no,no,no,2840.189286321396
29,10_0_0_20170110220255346.jpg.chip.jpg,10,male,white,0-19,36,no,no,no,2417.0440306196297
30,10_0_0_20170110220316298.jpg.chip.jpg,10,male,white,0-19,61,yes,no,no,3370.939128378436
31,10_0_0_20170110220403810.jpg.chip.jpg,10,male,white,0-19,68,no,no,no,2411.39603666242
32,10_0_0_20170110220447314.jpg.chip.jpg,10,male,white,0-19,74,yes,no,no,2538.1975702000627
33,10_0_0_20170110220503946.jpg.chip.jpg,10,male,white,0-19,82,yes,no,no,3353.459626953057
34,10_0_0_20170110220514186.jpg.chip.jpg,10,male,white,0-19,52,no,no,no,4003.9508452424975
35,10_0_0_20170110220530650.jpg.chip.jpg,10,male,white,0-19,37,no,no,yes,2336.5617073665785
36,10_0_0_20170110220539329.jpg.chip.jpg,10,male,white,0-19,34,yes,no,no,3353.7960059612174
37,10_0_0_20170110220541850.jpg.chip.jpg,10,male,white,0-19,50,yes,no,yes,2547.739818879538
38,10_0_0_20170110220546177.jpg.chip.jpg,10,male,white,0-19,73,yes,no,yes,2847.504621983786
39,10_0_0_20170110220548521.jpg.chip.jpg,10,male,white,0-19,62,yes,no,yes,3295.230548218415
40,10_0_0_20170110220557169.jpg.chip.jpg,10,male,white,0-19,57,no,no,no,2260.3798550992665
41,10_0_0_20170110220644705.jpg.chip.jpg,10,male,white,0-19,40,no,no,yes,1915.0836256817856
42,10_0_0_20170110220654150.jpg.chip.jpg,10,male,white,0-19,73,no,no,no,2664.9465684134952
43,10_0_0_20170110221714752.jpg.chip.jpg,10,male,white,0-19,69,no,no,no,2499.6557356956278
44,10_0_0_20170110221719390.jpg.chip.jpg,10,male,white,0-19,32,no,no,no,3129.128434429739
45,10_0_0_20170110221811823.jpg.chip.jpg,10,male,white,0-19,68,no,no,no,2276.2449510074903
46,10_0_0_20170110224223937.jpg.chip.jpg,10,male,white,0-19,74,yes,no,no,1946.3457012306778
47,10_0_0_20170110224238891.jpg.chip.jpg,10,male,white,0-19,56,yes,no,no,2807.685167166847
48,10_0_0_20170110224253445.jpg.chip.jpg,10,male,white,0-19,94,yes,no,no,3536.897385348143
49,10_0_0_20170110224255796.jpg.chip.jpg,10,male,white,0-19,56,no,no,no,2510.479225201733
50,10_0_0_20170110224402264.jpg.chip.jpg,10,male,white,0-19,0,no,no,no,1539.8850378220513
51,10_0_0_20170110224406532.jpg.chip.jpg,10,male,white,0-19,82,yes,no,no,3263.992866072392
52,10_0_0_20170110224416035.jpg.chip.jpg,10,male,white,0-19,54,yes,no,yes,3070.0394798416196
53,10_0_0_20170110224500062.jpg.chip.jpg,10,male,white,0-19,69,no,no,no,2358.297376340062
54,10_0_0_20170110224524253.jpg.chip.jpg,10,male,white,0-19,73,no,no,no,2732.6986744117003
55,10_0_0_20170110224549512.jpg.chip.jpg,10,male,white,0-19,70,no,no,no,2283.6313250519843
56,10_0_0_20170110224725285.jpg.chip.jpg,10,male,white,0-19,55,no,no,no,2655.1821044732465
57,10_0_0_20170110224757882.jpg.chip.jpg,10,male,white,0-19,33,no,no,no,1764.510789607227
58,10_0_0_20170110225013755.jpg.chip.jpg,10,male,white,0-19,52,no,no,no,3095.9941891056806
59,10_0_0_20170110225035898.jpg.chip.jpg,10,male,white,0-19,40,no,no,no,2462.68374703557
60,10_0_0_20170110225227587.jpg.chip.jpg,10,male,white,0-19,30,no,no,no,1661.752942143851
61,10_0_0_20170110225243501.jpg.chip.jpg,10,male,white,0-19,33,no,no,no,2411.9072792924635
62,10_0_0_20170110225246490.jpg.chip.jpg,10,male,white,0-19,76,yes,no,no,2593.6472760683255
63,10_0_0_20170110225252799.jpg.chip.jpg,10,male,white,0-19,52,no,no,no,2344.1258601783898
64,10_0_0_20170110225402690.jpg.chip.jpg,10,male,white,0-19,90,no,no,yes,2617.926703251888
65,10_0_0_20170110225414790.jpg.chip.jpg,10,male,white,0-19,72,no,no,no,3027.4276103308316
66,10_0_0_20170110225417177.jpg.chip.jpg,10,male,white,0-19,47,yes,no,no,3952.4071351880893
67,10_0_0_20170110225421531.jpg.chip.jpg,10,male,white,0-19,79,no,no,no,2868.363832291163
68,10_0_0_20170110225442428.jpg.chip.jpg,10,male,white,0-19,61,no,no,no,2324.2002937813722
69,10_0_0_20170110225444491.jpg.chip.jpg,10,male,white,0-19,44,no,no,yes,2970.5475420531875
70,10_0_0_20170110225451638.jpg.chip.jpg,10,male,white,0-19,24,no,no,no,1657.6589495577173
71,10_0_0_20170110225502403.jpg.chip.jpg,10,male,white,0-19,86,no,no,no,3547.887876399815
72,10_0_0_20170110225505288.jpg.chip.jpg,10,male,white,0-19,66,yes,no,yes,2252.484471047798
73,10_0_0_20170110225518663.jpg.chip.jpg,10,male,white,0-19,56,no,no,yes,3643.8732109167536
74,10_0_0_20170110225528484.jpg.chip.jpg,10,male,white,0-19,61,no,no,no,1788.9235195304223
75,10_0_0_20170110225537307.jpg.chip.jpg,10,male,white,0-19,79,no,no,no,2231.7791815223395
76,10_0_0_20170110225546130.jpg.chip.jpg,10,male,white,0-19,64,yes,no,no,2312.69920495817
77,10_0_0_20170110225557604.jpg.chip.jpg,10,male,white,0-19,67,no,no,yes,1139.2384801166975
78,10_0_0_20170110225601897.jpg.chip.jpg,10,male,white,0-19,89,yes,no,no,3100.3084914330784
79,10_0_0_20170116201102149.jpg.chip.jpg,10,male,white,0-19,70,yes,no,no,2632.797490009738
80,10_0_0_20170116201328751.jpg.chip.jpg,10,male,white,0-19,68,yes,no,no,3442.622864548443
81,10_0_0_20170116201337172.jpg.chip.jpg,10,male,white,0-19,62,no,no,no,2852.606187690094
82,10_0_0_20170117135444407.jpg.chip.jpg,10,male,white,0-19,84,no,no,no,2179.113057676306
83,10_0_0_20170117143048181.jpg.chip.jpg,10,male,white,0-19,72,yes,no,no,1035.3928190631418
84,10_0_0_20170117175625724.jpg.chip.jpg,10,male,white,0-19,67,no,no,no,2926.0312338055114
85,10_0_0_20170120220628194.jpg.chip.jpg,10,male,white,0-19,75,yes,no,no,2116.4712587494478
86,10_0_1_20170104010841239.jpg.chip.jpg,10,male,black,0-19,44,yes,no,yes,3059.500422640109
87,10_0_1_20170110220507258.jpg.chip.jpg,10,male,black,0-19,71,no,no,no,2557.718263539101
88,10_0_1_20170110220523360.jpg.chip.jpg,10,male,black,0-19,39,no,no,no,2540.9075270040007
89,10_0_1_20170110223455893.jpg.chip.jpg,10,male,black,0-19,29,yes,no,no,2147.2241564042874
90,10_0_1_20170110223848885.jpg.chip.jpg,10,male,black,0-19,53,no,no,no,2031.8613481525435
91,10_0_1_20170110225121326.jpg.chip.jpg,10,male,black,0-19,49,no,no,no,1913.3299514652017
92,10_0_1_20170110225339066.jpg.chip.jpg,10,male,black,0-19,37,no,no,no,2698.2103424639567
93,10_0_1_20170116225209209.jpg.chip.jpg,10,male,black,0-19,82,yes,no,no,3785.048606841295
94,10_0_2_20170110224230094.jpg.chip.jpg,10,male,asian,0-19,81,no,no,no,1976.4727025307477
95,10_0_2_20170116162109013.jpg.chip.jpg,10,male,asian,0-19,21,no,no,no,2297.365250489827
96,10_0_3_20161220215952636.jpg.chip.jpg,10,male,indian,0-19,43,yes,no,no,2384.2443668508217
97,10_0_3_20170104225233504.jpg.chip.jpg,10,male,indian,0-19,97,no,no,no,2892.1943834367
98,10_0_3_20170104225238736.jpg.chip.jpg,10,male,indian,0-19,93,yes,no,no,1933.1088807122426
99,10_0_3_20170105175322885.jpg.chip.jpg,10,male,indian,0-19,57,no,no,no,2737.7311381832665
100,10_0_4_20161221192738446.jpg.chip.jpg,10,male,other,0-19,49,no,no,yes,2634.7117858727797
101,10_0_4_20170103200335831.jpg.chip.jpg,10,male,other,0-19,80,yes,no,no,3204.3315271287292
102,10_0_4_20170103200409638.jpg.chip.jpg,10,male,other,0-19,84,no,no,yes,1933.3786777415794
103,10_0_4_20170103200443015.jpg.chip.jpg,10,male,other,0-19,59,no,no,no,3195.710501502238
104,10_0_4_20170103200501766.jpg.chip.jpg,10,male,other,0-19,67,no,no,yes,3523.5372313578614
105,10_0_4_20170103201924664.jpg.chip.jpg,10,male,other,0-19,75,no,no,yes,2007.5766934677415
106,10_0_4_20170103202338152.jpg.chip.jpg,10,male,other,0-19,54,no,no,no,2143.4780701378413
107,10_0_4_20170103212521420.jpg.chip.jpg,10,male,other,0-19,96,no,no,no,2223.152695192567
108,10_0_4_20170103223451479.jpg.chip.jpg,10,male,other,0-19,87,yes,no,yes,4340.3665626606235
